,incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
2,INC002249,Homocide,Southwest  ,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,F,asian,VIC00518,Richard,Hill,29.0,Other,244-584-7696,KNIFE,1,CLOSED,warning,2.0,15963.38,YES,Incident at 1067 Main St. Officer responded at scene.
8,INC001205,B&E,East  ,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,m,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,hands,Crit,under investigation,warning,0.0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.
20,INC002859,Trespass,Mid,Maplewood,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:45,OFF0020,Joseph,Walker,6621.0,SUS00207,Mary,Brown,42.0,Female,Hispanic,VIC00225,Patricia,Green,12.0,MALE,527-108-7397,Knife,low,closed,Dismissed,5.0,26845.31,1,Incident at 1522 Lincoln St. Officer responded at scene.
21,INC004651,CYBER CRIME,  EAST  ,Oakdale,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:36,OFF0059,Sarah,Martin,5314.0,SUS00385,James,Young,35.0,Male,BLACK,VIC00777,Donna,Young,55.0,f,701-395-6824,firearm,4,Open,warning,3.0,2167.35,no,Incident at 3806 Washington Ave. Officer responded at scene.
23,INC004688,trespassing,Wes,Lakewood,PA,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28 15:30:49,OFF0094,Anthony,Moore,2483.0,SUS00220,Robert,Wright,58.0,Other,Unknown,VIC00521,Mark,Harris,33.0,f,294-211-8872,Bat,Med,Open,Arres Made,1.0,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.
39,INC004684,HOMICIDE,Northeast,Maplewood,GA,6859 Oak Ave,34.916346,-83.935027,2020-09-09 11:34:44,OFF0078,Emily,Jackson,3050.0,SUS00546,Carol,Johnson,21.0,m,hispanic,VIC00905,Robert,Johnson,21.0,female,548-542-9323,Blunt Object,low,Open,NO ARREST,4.0,21921.32,yes,Incident at 6859 Oak Ave. Officer responded at scene.
42,INC000317,Hacking,Southwest,Maplewood,NC,839 Sunset Blvd,47.743973,61.9776,2023-08-17 13:15:02,OFF0142,Barbara,Scott,2898.0,SUS00241,Richard,Thompson,61.0,M,Hispanic,VIC00559,James,Hall,64.0,Female,536-762-5023,Unarmed,Low,Closed,Warning Issued,5.0,36550.83,yes,Incident at 839 Sunset Blvd. Officer responded at scene.
50,INC000567,Drug Offence,Midtown,Maplewood,TX,2799 Washington Ave,47.521741,-104.824812,2024-11-14 06:49:42,OFF0133,Anthony,Flores,2812.0,SUS00386,Matthew,Lee,26.0,male,asian,VIC00211,Patricia,Young,38.0,female,745-880-2502,Knife,1,Open,Case Dismissed,4.0,3251.53,YES,Incident at 2799 Washington Ave. Officer responded at scene.
60,INC003033,Cybercrime,Northeast  ,Riverside,CA,3853 Maple Dr,47.486281,-84.4065,2019-09-27 21:25:33,OFF0100,Linda,Taylor,5319.0,SUS00768,Carol,White,50.0,FEMALE,asian,VIC00499,Ashley,Jackson,10.0,f,682-660-7304,KNIFE,low,OPEN,arrest made,2.0,39258.03,Yes,Incident at 3853 Maple Dr. Officer responded at scene.
73,INC001691,Burglary,SOUTHEAST,Centerville,CA,4356 River Rd,31.325604,-86.792666,2023-09-14 21:53:45,OFF0119,John,Flores,6210.0,SUS00216,Michael,Harris,41.0,male,Unknown,VIC00115,William,Torres,74.0,Female,9345188511,hands,Critical,Closed,Warning Issued,0.0,36801.45,yes,Incident at 4356 River Rd. Officer responded at scene.
86,INC003520,Vandalism,  Southwest    ,Hillcrest,OH,8811 Lincoln St,36.104173,-97.581118,2019-09-22 02:05:12,OFF0126,Sarah,Scott,3390.0,SUS00303,Joseph,Walker,27.0,Female,asian,VIC00147,Robert,Brown,41.0,f,277-571-6907,Rifle,Critical,Closed,NO ARREST,2.0,41712.02,YES,Incident at 8811 Lincoln St. Officer responded at scene.
91,INC003499,Sexual Assualt, Northeast,Maplewood,GA,3550 Main St,25.292466,-78.80599,2019-12-12 01:27:20,OFF0125,Mary,Young,7163.0,SUS00566,Karen,Brown,50.0,M,Black,VIC00553,Sarah,Brown,56.0,male,501-943-8143,Unarmed,low,Under Investigation,warning,1.0,38981.98,yes,Incident at 3550 Main St. Officer responded at scene.
95,INC001276,Cyber Crime,west,Hillcrest,TX,6693 Lincoln St,33.572363,60.1589,2019-02-19 09:49:02,OFF0063,Jennifer,Wilson,7804.0,SUS00581,Susan,Brown,41.0,Unknown,hispanic,VIC00565,Michael,Hall,73.0,m,684-593-3586,Knife,low,Pending,Arres Made,3.0,42807.37,True,Incident at 6693 Lincoln St. Officer responded at scene.
130,INC000951,Drug Offense,Sou,Lakewood,GA,9654 Main St,37.799222,-103.880633,2022-06-23 21:19:22,OFF0040,Richard,Jones,8177.0,SUS00489,Linda,Brown,-70.0,Other,white,VIC00534,Ashley,Scott,81.0,MALE,602-512-4652,hands,Low,OPEN,No Arrest,4.0,22116.2,YES,Incident at 9654 Main St. Officer responded at scene.
148,INC002312,Cyber Crime, North,Oakdale,GA,7375 Elm Blvd,34.075755,-115.57788,2024-05-18 15:16:03,OFF0067,Patricia,Young,8536.0,SUS00727,Jessica,Hall,26.0,MALE,Black,VIC00770,Linda,Green,70.0,Female,505-482-2447,KNIFE,High,Under Investigation,warning,4.0,25132.87,False,Incident at 7375 Elm Blvd. Officer responded at scene.
153,INC004549,Deception,Nor,Oakdale,IL,365 Main St,32.736055,-82.49897,24-03-2019,OFF0113,Barbara,Smith,3572.0,SUS00084,Chris,Garcia,71.0,male,hispanic,VIC00519,Barbara,Green,57.0,Female,462-742-5753,KNIFE,3,Investgation,Dismissed,2.0,18763.21,False,Incident at 365 Main St. Officer responded at scene.
158,INC004204,Cyber Crime,Northwest  ,Centerville,OH,5596 Sunset Blvd,28.621411,-107.531839,2023-08-07 00:58:09,OFF0090,Jennifer,Wilson,7618.0,SUS00219,John,Green,31.0,Other,hispanic,VIC00147,Karen,Garcia,82.0,Male,328-731-6449,firearm,Critical,Open,NO ARREST,2.0,14643.28,no,Incident at 5596 Sunset Blvd. Officer responded at scene.
160,INC001230,Sexual Assualt,East  ,Fairview,TX,3480 Elm Blvd,46.978845,-83.36239,05/15/2021 23:05,OFF0084,john,Thompson,4094.0,SUS00700,Nancy,Brown,31.0,F,Black,VIC00645,Patricia,Wright,43.0,Male,946-564-9297,blunt object,low,Open,Arrest Made,3.0,41083.25,No,Incident at 3480 Elm Blvd. Officer responded at scene.
163,INC001911,Domestc Violence,South,Springfield,NC,8295 Elm Blvd,41.748432,-103.027068,2019-11-04 07:25:28,OFF0055,Barbara,Davis,7553.0,SUS00347,Michelle,Lee,62.0,female,hispanic,VIC00013,Patricia,Walker,62.0,Other,880-339-7285,Pistol,3,Resolved,arrest made,3.0,23107.33,False,Incident at 8295 Elm Blvd. Officer responded at scene.
169,INC001216,Armed Robbery,WEST,Lakewood,NC,782 Washington Ave,46.490677,-117.629655,2024-03-29 01:26:46,OFF0021,DANIEL,Thomas,9432.0,SUS00432,William,Flores,67.0,female,hispanic,VIC00537,Anthony,Martin,219.0,male,334-103-8495,Blunt Object,Med,Closed,No Arrest,3.0,30857.0,YES,Incident at 782 Washington Ave. Officer responded at scene.
179,INC002816,DWI,EAST,Oakdale,CA,5181 Oak Ave,38.353858,62.3007,2021-03-16 09:55:52,OFF0021,Daniel,Green,2377.0,SUS00149,Michelle,Jones,53.0,M,white,VIC00660,Jennifer,Young,19.0,MALE,237-325-6915,KNIFE,Crit,under investigation,No Arrest,5.0,15892.94,No,Incident at 5181 Oak Ave. Officer responded at scene.
187,INC002173,TRESPASSING,central,Lakewood,AZ,8857 Maple Dr,40.43339,-76.302652,2021-03-19 01:24:59,OFF0132,Linda,Williams,8721.0,SUS00284,Sarah,Thomas,59.0,f,asian,VIC00787,Matthew,Johnson,19.0,female,836-656-3157,Firearm,High,Under Investigation,arrest made,5.0,173.17,True,Incident at 8857 Maple Dr. Officer responded at scene.
194,INC001395,assault,southeast,Lakewood,CA,2099 Elm Blvd,25.737651,80.9158,2021-11-14 21:44:03,OFF0059,Anthony,Thompson,3866.0,SUS00130,Matthew,Johnson,66.0,F,asian,VIC00404,Michelle,Thompson,62.0,F,435-100-8874,Firearm,Crit,Resolved,NO ARREST,2.0,27196.83,True,Incident at 2099 Elm Blvd. Officer responded at scene.
197,INC002464,Drug Offense, Southwest,Centerville,GA,1586 River Rd,36.69087,-107.356416,2019-02-18 05:01:08,OFF0012,Mark,Thompson,2256.0,SUS00470,Robert,Wright,25.0,male,Black,VIC00376,Thomas,Hill,264.0,female,329-306-3269,Hands/Feet,High,under investigation,Case Dismissed,0.0,40983.11,YES,Incident at 1586 River Rd. Officer responded at scene.
198,INC003483,manslaughter,Eas,Springfield,PA,9553 Cedar Lane,33.236749,71.5683,2018-08-26 03:26:20,OFF0145,Susan,Hill,6987.0,SUS00397,Barbara,Taylor,46.0,M,Other,VIC00709,Michelle,Hall,88.0,female,655-102-6469,Firearm,2,CLOSED,Arres Made,1.0,31081.59,False,Incident at 9553 Cedar Lane. Officer responded at scene.
210,INC004725,Assault,EAST,Fairview,NC,2913 Sunset Blvd,43.108174,91.9406,2022-06-24 06:43:51,OFF0080,Jennifer,Miller,8970.0,SUS00343,John,Smith,52.0,F,Unknown,VIC00343,Emily,White,53.0,F,803-322-4172,Gun,3,Investgation,Dismissed,-1.0,43948.28,False,Incident at 2913 Sunset Blvd. Officer responded at scene.
213,INC003783,Homocide,north,Oakdale,CA,6404 Main St,28.335173,-86.160145,2022-11-04 20:39:07,OFF0092,  Sarah  ,Thomas,5221.0,SUS00120,Linda,Harris,25.0,f,Unknown,VIC00440,Mark,Anderson,27.0,male,682-291-7750,Knife,Low,OPEN,Warning Issued,2.0,19952.71,yes,Incident at 6404 Main St. Officer responded at scene.
225,INC003608,Drugs,Midtown  ,Riverside,GA,7395 Washington Ave,45.044342,-72.423323,2024-01-29 00:05:23,OFF0087,Sarah,Garcia,6810.0,SUS00780,Susan,Wilson,39.0,Male,White,VIC00127,Michelle,Davis,34.0,m,428-174-5784,Knife,High,Closed,arrest made,1.0,3090.64,1,Incident at 7395 Washington Ave. Officer responded at scene.
230,INC002033,fraud,Central  ,Maplewood,NY,8779 Elm Blvd,37.822353,-95.973311,2020-11-01 02:21:12,OFF0146,Nancy,Harris,9829.0,SUS00375,Donna,Anderson,35.0,Male,Other,VIC00973,Patricia,Scott,50.0,FEMALE,979-597-1463,hands,Med,Investgation,Arrest Made,3.0,1982.33.0,1,Incident at 8779 Elm Blvd. Officer responded at scene.
232,INC000676,Tresspassing,MIDTOWN,Oakdale,TX,7416 Elm Blvd,27.484011,-72.298923,25-06-2018,OFF0087,Matthew,Jones,1135.0,SUS00641,Emily,Flores,29.0,M,Asian,VIC00786,Emily,Brown,75.0,female,580-523-1272,Pistol,Crit,Pendng,Arres Made,1.0,14407.75,yes,Incident at 7416 Elm Blvd. Officer responded at scene.
233,INC000243,Assault & Battery,Sou,Fairview,FL,415 Maple Dr,44.673563,-81.921271,2020-12-10 23:00:01,OFF0109,Michael,Lee,4129.0,SUS00392,Carol,Wright,157.0,male,hispanic,VIC00370,James,Young,49.0,M,296-477-5157,Firearm,Crit,OPEN,Arrest Made,5.0,13747.57,0,Incident at 415 Maple Dr. Officer responded at scene.
236,INC004411,Larceny,Nor,Maplewood,GA,1781 Maple Dr,35.014498,-95.063276,2019-07-04 05:49:56,OFF0017,Richard,Thomas,9422.0,SUS00644,Charles,Brown,-66.0,male,White,VIC00285,David,Lee,53.0,M,648-189-4763,blunt object,MEDIUM,Open,Case Dismissed,4.0,13121.65,0,Incident at 1781 Maple Dr. Officer responded at scene.
246,INC001837,Deception,Wes,Fairview,IL,1361 Lincoln St,36.650934,-111.083643,2018-05-11 06:53:52,OFF0143,Carol,Young,5048.0,SUS00437,Charles,Taylor,35.0,Other,Asian,VIC00385,Jessica,Allen,43.0,male,659-980-8422,Blunt Object,MEDIUM,CLOSED,Dismissed,4.0,28509.38,0,Incident at 1361 Lincoln St. Officer responded at scene.
248,INC003013,theft/larceny, East,Fairview,GA,3989 Sunset Blvd,45.684971,-77.04507,2023-02-11 07:45:23,OFF0104,David,Moore,8408.0,SUS00725,Charles,Moore,26.0,F,Hispanic,VIC00898,Mary,Smith,23.0,m,603-660-8770,Bat,4,Investgation,warning,-2.0,38013.69.0,NO,Incident at 3989 Sunset Blvd. Officer responded at scene.
